Number,First,Len,Rotate,GNU,Rot13,FAQ6,Ly,Rs,Sum
594,0,0,18,0,10,20,16,20,4
595,0,0,16,0,8,22,28,24,5
596,0,0,21,0,5,21,20,15,6
597,0,0,19,0,6,20,24,19,10
598,0,0,23,0,6,33,21,23,9
599,0,0,25,0,9,17,24,15,9
600,0,0,27,0,3,16,13,22,16
601,0,0,20,0,7,22,22,21,13
602,0,0,27,0,4,21,21,22,26
603,0,0,24,0,6,15,13,21,22
604,0,0,22,0,4,21,22,29,29
605,0,0,20,0,6,18,22,29,24
606,0,0,13,0,4,14,18,12,40
607,0,0,13,0,1,23,23,21,56
608,0,0,13,0,2,18,21,18,62
609,0,0,24,0,2,27,25,14,70
610,0,0,15,0,0,18,19,16,81
611,0,0,11,0,1,16,16,15,88
612,0,0,21,0,1,17,18,18,106
613,0,0,19,0,2,13,19,29,116
614,0,0,11,0,0,19,16,16,146
615,0,0,20,0,0,19,30,14,165
616,0,0,24,0,1,24,21,20,183
617,0,0,34,0,2,21,21,17,169
618,0,0,22,0,2,24,20,19,220
619,0,0,21,0,1,17,18,16,211
620,0,0,26,0,0,16,24,19,239
621,0,0,18,0,0,19,22,22,234
622,0,0,17,0,1,31,17,17,304
623,0,0,21,0,0,14,14,20,315
624,0,0,19,0,0,21,24,11,336
625,0,0,28,0,0,16,19,24,356
626,0,0,24,0,0,21,24,18,394
627,0,0,18,0,1,24,18,19,446
628,0,0,16,0,2,14,12,30,439
629,0,0,18,0,0,15,22,32,491
630,0,0,16,0,0,17,19,17,498
631,0,0,19,0,0,13,27,24,516
632,0,0,20,0,1,24,21,16,568
633,0,0,15,0,0,29,22,20,549
634,0,0,20,0,0,29,19,13,531
635,0,0,24,0,0,19,16,15,585
636,0,0,21,0,0,26,15,15,605
637,0,0,20,0,1,27,19,31,630
638,0,0,21,0,0,16,21,15,630
639,0,0,25,0,1,24,16,21,602
640,0,0,12,0,1,20,12,17,656
641,0,0,24,0,0,16,17,12,697
642,0,0,21,0,1,20,17,21,695
643,0,0,26,0,0,18,25,29,676
644,0,0,18,0,0,21,16,23,663
645,0,0,32,0,1,21,21,16,684
646,0,0,18,0,0,21,28,9,729
647,0,0,27,0,0,19,24,20,740
648,0,0,18,0,2,17,23,22,685
649,0,0,20,0,3,20,24,13,690
650,0,0,20,0,0,16,23,22,678
651,0,0,22,0,2,20,18,16,652
652,0,0,20,0,3,17,14,24,671
653,0,0,26,0,4,15,17,19,584
654,0,0,22,0,2,21,20,20,598
655,0,0,17,0,5,25,15,14,623
656,0,0,18,0,2,16,22,13,550
657,0,0,19,0,7,18,22,19,578
658,0,0,17,0,1,24,9,25,540
659,0,0,26,0,12,25,20,29,548
660,0,0,20,0,9,17,27,17,477
661,0,0,15,0,8,28,20,18,466
662,0,0,25,0,16,22,20,13,423
663,0,0,21,0,14,13,21,19,399
664,0,0,27,0,12,28,28,11,361
665,0,0,15,0,9,26,21,24,361
666,0,0,29,0,17,21,25,25,312
